time,true_distance,true_velocity,true_acceleration,d_linenc,d_kalman,d_error
0.107,0.00594,0.108,1,0,1,-0.99406
0.108,0.0060495,0.109,1,0,1,-0.99395
0.109,0.00616,0.11,1,0,1,-0.99384
0.11,0.0062715,0.111,1,0,1,-0.993729
0.111,0.006384,0.112,1,0,1,-0.993616
0.112,0.0064975,0.113,1,0,1,-0.993502
0.113,0.006612,0.114,1,0,1,-0.993388
0.114,0.0067275,0.115,1,0,1,-0.993272
0.115,0.006844,0.116,1,0,1,-0.993156
0.116,0.0069615,0.117,1,0,1,-0.993038
0.117,0.00708,0.118,1,0,1,-0.99292
0.118,0.0071995,0.119,1,0,1,-0.9928
0.119,0.00732,0.12,1,0,1,-0.99268
0.12,0.0074415,0.121,1,0,1,-0.992558
0.121,0.007564,0.122,1,0,1,-0.992436
0.122,0.0076875,0.123,1,0,1,-0.992312
0.123,0.007812,0.124,1,0,1,-0.992188
0.124,0.0079375,0.125,1,0,1,-0.992063
0.125,0.008064,0.126,1,0,1,-0.991936
0.126,0.0081915,0.127,1,0,1,-0.991808
0.127,0.00832,0.128,1,0,1,-0.99168
0.128,0.0084495,0.129,1,0,1,-0.991551
0.129,0.00858,0.13,1,0,1,-0.99142
0.13,0.0087115,0.131,1,0,1,-0.991288
0.131,0.008844,0.132,1,0,1,-0.991156
0.132,0.0089775,0.133,1,0,1,-0.991022
0.133,0.00911201,0.134,1,0,1,-0.990888
0.134,0.00924751,0.135,1,0,1,-0.990753
0.135,0.00938401,0.136,1,0,1,-0.990616
0.136,0.00952151,0.137,1,0,1,-0.990479
0.137,0.00966001,0.138,1,0,1,-0.99034
0.138,0.00979951,0.139,1,0,1,-0.990201
0.139,0.00994001,0.14,1,0,1,-0.99006
0.14,0.0100815,0.141,1,0,1,-0.989918
0.141,0.010224,0.142,1,0,1,-0.989776
0.142,0.0103675,0.143,1,0,1,-0.989632
0.143,0.010512,0.144,1,0,1,-0.989488
0.144,0.0106575,0.145,1,0,1,-0.989343
0.145,0.010804,0.146,1,0,1,-0.989196
0.146,0.0109515,0.147,1,0,1,-0.989048
0.147,0.0111,0.148,1,0,1,-0.9889
0.148,0.0112495,0.149,1,0,1,-0.988751
0.149,0.0114,0.15,1,0,1,-0.9886
0.15,0.0115515,0.151,1,0,1,-0.988449
0.151,0.011704,0.152,1,0,1,-0.988296
0.152,0.0118575,0.153,1,0,1,-0.988142
0.153,0.012012,0.154,1,0,1,-0.987988
0.154,0.0121675,0.155,1,0,1,-0.987832
0.155,0.012324,0.156,1,0,1,-0.987676
0.156,0.0124815,0.157,1,0,1,-0.987518
0.157,0.01264,0.158,1,0,1,-0.98736
0.158,0.0127995,0.159,1,0,1,-0.9872
0.159,0.01296,0.16,1,0,1,-0.98704
0.16,0.0131215,0.161,1,0,1,-0.986879
0.161,0.013284,0.162,1,0,1,-0.986716
0.162,0.0134475,0.163,1,0,1,-0.986552
0.163,0.013612,0.164,1,0,1,-0.986388
0.164,0.0137775,0.165,1,0,1,-0.986223
0.165,0.013944,0.166,1,0,1,-0.986056
0.166,0.0141115,0.167,1,0,1,-0.985888
0.167,0.01428,0.168,1,0,1,-0.98572
0.168,0.0144495,0.169,1,0,1,-0.98555
0.169,0.01462,0.17,1,0,1,-0.98538
0.17,0.0147915,0.171,1,0,1,-0.985209
0.171,0.014964,0.172,1,0,1,-0.985036
0.172,0.0151375,0.173,1,0,1,-0.984863
0.173,0.015312,0.174,1,0,1,-0.984688
0.174,0.0154875,0.175,1,0,1,-0.984513
0.175,0.015664,0.176,1,0,1,-0.984336
0.176,0.0158415,0.177,1,0,1,-0.984159
0.177,0.01602,0.178,1,0,1,-0.98398
0.178,0.0161995,0.179,1,0,1,-0.9838
0.179,0.01638,0.18,1,0,1,-0.98362
0.18,0.0165615,0.181,1,0,1,-0.983438
0.181,0.016744,0.182,1,0,1,-0.983256
0.182,0.0169275,0.183,1,0,1,-0.983073
0.183,0.017112,0.184,1,0,1,-0.982888
0.184,0.0172975,0.185,1,0,1,-0.982702
0.185,0.017484,0.186,1,0,1,-0.982516
0.186,0.0176715,0.187,1,0,1,-0.982328
0.187,0.01786,0.188,1,0,1,-0.98214
0.188,0.0180495,0.189,1,0,1,-0.981951
0.189,0.01824,0.19,1,0,1,-0.98176
0.19,0.0184315,0.191,1,0,1,-0.981569
0.191,0.018624,0.192,1,0,1,-0.981376
0.192,0.0188175,0.193,1,0,1,-0.981183
0.193,0.019012,0.194,1,0,1,-0.980988
0.194,0.0192075,0.195,1,0,1,-0.980793
0.195,0.019404,0.196,1,0,1,-0.980596
0.196,0.0196015,0.197,1,0,1,-0.980398
0.197,0.0198,0.198,1,0,1,-0.9802
0.198,0.0199995,0.199,1,0,1,-0.98
0.199,0.0202,0.2,1,0,1,-0.9798
0.2,0.0204015,0.201,1,0,1,-0.979599
0.201,0.020604,0.202,1,0,1.0002,-0.979597
0.202,0.0208075,0.203,1,0,1.0002,-0.979393
0.203,0.021012,0.204,1,0,1.0002,-0.979189
0.204,0.0212175,0.205,1,0,1.0002,-0.978983
0.205,0.021424,0.206,1,0,1.0002,-0.978777
0.206,0.0216315,0.207,1,0,1.0002,-0.97857
0.207,0.02184,0.208,1,0,1.0002,-0.978361
0.208,0.0220495,0.209,1,0,1.0002,-0.978152
0.209,0.02226,0.21,1,0,1.0002,-0.977941
0.21,0.0224715,0.211,1,0,1.0002,-0.977729
0.211,0.022684,0.212,1,0,1.0002,-0.977517
0.212,0.0228975,0.213,1,0,1.0002,-0.977304
0.213,0.023112,0.214,1,0,1.0002,-0.977089
0.214,0.0233275,0.215,1,0,1.0002,-0.976874
0.215,0.023544,0.216,1,0,1.0002,-0.976657
0.216,0.0237615,0.217,1,0,1.0002,-0.976439
0.217,0.02398,0.218,1,0,1.0002,-0.976221
0.218,0.0241995,0.219,1,0,1.0002,-0.976002
0.219,0.02442,0.22,1,0,1.0002,-0.975781
0.22,0.0246415,0.221,1,0,1.0002,-0.975559
0.221,0.024864,0.222,1,0,1.0002,-0.975337
0.222,0.0250875,0.223,1,0,1.0002,-0.975114
0.223,0.025312,0.224,1,0,1.0002,-0.974889
0.224,0.0255375,0.225,1,0,1.0002,-0.974663
0.225,0.025764,0.226,1,0,1.0002,-0.974437
0.226,0.0259915,0.227,1,0,1.0002,-0.974209
0.227,0.02622,0.228,1,0,1.0002,-0.973981
0.228,0.0264495,0.229,1,0,1.0002,-0.973751
0.229,0.02668,0.23,1,0,1.0002,-0.973521
0.23,0.0269115,0.231,1,0,1.0002,-0.973289
0.231,0.027144,0.232,1,0,1.0002,-0.973057
0.232,0.0273775,0.233,1,0,1.0002,-0.972824
0.233,0.027612,0.234,1,0,1.0002,-0.972589
0.234,0.0278475,0.235,1,0,1.0002,-0.972354
0.235,0.028084,0.236,1,0,1.0002,-0.972117
0.236,0.0283215,0.237,1,0,1.0002,-0.971879
0.237,0.02856,0.238,1,0,1.0002,-0.971641
0.238,0.0287995,0.239,1,0,1.0002,-0.971402
0.239,0.02904,0.24,1,0,1.0002,-0.971161
0.24,0.0292815,0.241,1,0,1.0002,-0.970919
0.241,0.029524,0.242,1,0,1.0002,-0.970677
0.242,0.0297675,0.243,1,0,1.0002,-0.970434
0.243,0.030012,0.244,1,0,1.0002,-0.970189
0.244,0.0302575,0.245,1,0,1.0002,-0.969944
0.245,0.030504,0.246,1,0,1.0002,-0.969697
0.246,0.0307515,0.247,1,0,1.0002,-0.96945
0.247,0.031,0.248,1,0,1.0002,-0.969201
0.248,0.0312495,0.249,1,0,1.0002,-0.968952
0.249,0.0315,0.25,1,0,1.0002,-0.968701
0.25,0.0317515,0.251,1,0,1.0002,-0.96845
0.251,0.032004,0.252,1,0,1.0002,-0.968197
0.252,0.0322575,0.253,1,0,1.0002,-0.967944
0.253,0.032512,0.254,1,0,1.0002,-0.967689
0.254,0.0327675,0.255,1,0,1.0002,-0.967434
0.255,0.033024,0.256,1,0,1.0002,-0.967177
0.256,0.0332815,0.257,1,0,1.0002,-0.96692
0.257,0.03354,0.258,1,0,1.0002,-0.966661
0.258,0.0337995,0.259,1,0,1.0002,-0.966402
0.259,0.03406,0.26,1,0,1.0002,-0.966141
